Sheet,1,2,3,4,5,6,7,8,9,10,11
A One C - No,R,R,R,N,R,R,R,R,R,22.4,R
A One C - Yes,95.0,96.4,89.0,N,88.1,93.5,87.9,91.1,99.3,77.6,89.4
Advised to Change Eating Hab - No,30.6,22.8,26.1,24.1,28.3,22.7,32.6,28.6,20.7,23.9,18.6
Advised to Change Eating Hab - Yes,69.4,77.2,73.9,75.9,71.7,77.3,67.4,71.4,79.3,76.1,81.4
Advised to Cut Down Salt - Do not use salt,R,R,R,R,R,R,R,R,R,R,R
Advised to Cut Down Salt - No,29.4,32.1,29.1,28.6,26.3,29.9,32.7,30.5,20.9,26.3,21.2
Advised to Cut Down Salt - Yes,67.2,67.3,69.9,69.7,70.9,69.8,67.1,69.4,77.4,73.3,77.7
Advised to Exercise - No,21.2,18.1,14.1,18.0,19.3,15.0,23.0,19.7,15.3,17.2,7.8
Advised to Exercise - Yes,78.8,81.9,85.9,82.0,80.7,85.0,77.0,80.3,84.7,82.8,92.2
Advised to Take Med - No,R,3.6,13.0,R,R,12.9,17.7,13.3,R,12.7,R
Advised to Take Med - Yes,91.4,96.4,87.0,89.3,89.1,87.1,82.3,86.7,87.5,87.3,89.9
"All Teeth Removed, 65+ - No",89.2,73.7,88.5,73.8,90.4,89.2,89.5,94.1,63.3,90.7,88.6
"All Teeth Removed, 65+ - Yes",R,26.3,11.5,26.2,9.6,10.8,10.5,R,R,R,R
Alzheimers Care - No,85.9,72.2,79.5,N,85.0,85.9,84.1,67.1,81.8,87.4,81.3
Alzheimers Care - Yes,14.1,R,20.5,N,15.0,R,15.9,32.9,R,R,R
Any Cancer - No,94.0,87.2,89.0,87.6,83.9,90.4,89.6,92.2,94.7,94.2,93.1
Any Cancer - Yes,6.0,12.8,11.0,12.4,16.1,9.6,10.4,7.8,5.3,5.8,6.9
Any Drinking Past Month - No,58.3,62.5,47.8,55.8,53.9,52.1,42.3,47.4,49.5,50.3,54.7
Any Drinking Past Month - Yes,41.7,37.5,52.2,44.2,46.1,47.9,57.7,52.6,50.5,49.7,45.3
Arthritis - No,77.0,68.6,79.1,68.6,73.3,83.3,77.0,73.2,77.8,75.6,81.6
Arthritis - Yes,23.0,31.4,20.9,31.4,26.7,16.7,23.0,26.8,22.2,24.4,18.4
Asthma Status - Current,13.7,9.3,9.2,10.4,R,6.8,10.6,11.6,6.8,7.9,5.0
Asthma Status - Former,R,4.6,5.8,R,4.4,7.3,5.0,6.0,R,4.0,4.6
Asthma Status - Never,80.5,86.0,85.0,85.1,86.8,86.0,84.4,82.4,85.9,88.0,90.4
BMI 3 Categories - Obese,46.8,44.5,34.0,38.5,38.8,36.8,31.5,36.4,39.8,36.3,40.3
BMI 3 Categories - Overweight,31.5,25.6,36.2,36.1,37.4,30.6,34.3,34.9,38.5,39.0,32.8
BMI 3 Categories - Recommended Range,21.7,30.0,29.8,25.4,23.8,32.5,34.1,28.7,21.7,24.8,27.0
BMI 4 Categories - Obese,46.8,44.5,34.0,38.5,38.8,36.8,31.5,36.4,39.8,36.3,40.3
BMI 4 Categories - Overweight,31.5,25.6,36.2,36.1,37.4,30.6,34.3,34.9,38.5,39.0,32.8
BMI 4 Categories - Recommended Range,20.9,28.7,28.1,24.1,23.4,29.3,31.5,26.7,19.7,23.2,25.3
BMI 4 Categories - Underweight,R,R,1.7,R,R,3.2,2.6,R,R,R,R
BMI 5 Categories - Extremely Obese,12.8,R,5.8,10.8,R,5.0,6.0,5.9,R,5.4,9.5
BMI 5 Categories - Obese,34.0,33.6,28.2,27.6,32.2,31.8,25.6,30.5,33.9,30.9,30.7
BMI 5 Categories - Overweight,31.5,25.6,36.2,36.1,37.4,30.6,34.3,34.9,38.5,39.0,32.8
BMI 5 Categories - Recommended Range,20.9,28.7,28.1,24.1,23.4,29.3,31.5,26.7,19.7,23.2,25.3
BMI 5 Categories - Underweight,R,R,1.7,R,R,3.2,2.6,R,R,R,R
BP Location - At home,83.8,85.2,85.2,77.4,85.6,84.2,82.3,80.4,86.9,87.9,88.2
BP Location - Do not check it,9.1,7.9,7.7,R,R,R,9.3,R,R,R,R
BP Location - On a machine at pharmacy or store,R,R,7.1,R,R,R,8.4,12.8,R,R,R
BP Sharing - Do Not Share,10.7,R,7.3,R,R,9.5,7.6,5.3,R,R,R
"BP Sharing - Email, Portal, or Fax",6.0,5.0,13.6,R,R,R,18.3,13.3,R,R,R
BP Sharing - In Person,74.3,85.1,76.0,72.0,75.8,73.1,68.5,78.1,73.6,82.3,80.9
BP Sharing - Telephone,R,R,3.1,R,R,R,R,3.4,R,R,R
Binge Drinking - No,82.8,89.4,84.3,90.2,81.1,83.0,82.5,82.3,79.0,87.3,81.3
Binge Drinking - Yes,17.2,10.6,15.7,9.8,18.9,17.0,17.5,17.7,21.0,12.7,18.7
Binge-Heavy Drinking - Femal - No,88.2,94.7,81.7,N,81.4,80.6,81.7,76.8,80.4,88.0,81.9
Binge-Heavy Drinking - Femal - Yes,R,R,18.3,N,R,19.4,18.3,23.2,19.6,R,18.1
Blind - No,92.9,87.8,93.5,92.0,90.0,94.4,94.8,92.5,89.4,91.0,87.4
Blind - Yes,7.1,12.2,6.5,R,10.0,5.6,5.2,7.5,10.6,9.0,12.6
COPD - No,93.2,93.7,94.4,88.8,93.1,93.4,94.4,94.9,96.4,94.0,96.0
