Sheet,1,2,3,4,5,6,7,8,9,10,11
A One C,95.0,96.4,89.0,N,88.1,93.5,87.9,91.1,99.3,77.6,89.4
Advised to Change Eating Hab,69.4,77.2,73.9,75.9,71.7,77.3,67.4,71.4,79.3,76.1,81.4
Advised to Cut Down Salt,67.2,67.3,69.9,69.7,70.9,69.8,67.1,69.4,77.4,73.3,77.7
Advised to Exercise,78.8,81.9,85.9,82.0,80.7,85.0,77.0,80.3,84.7,82.8,92.2
Advised to Take Med,91.4,96.4,87.0,89.3,89.1,87.1,82.3,86.7,87.5,87.3,89.9
"All Teeth Removed, 65+",R,26.3,11.5,26.2,9.6,10.8,10.5,R,R,R,R
Alzheimers Care,14.1,R,20.5,N,15.0,R,15.9,32.9,R,R,R
Any Cancer,6.0,12.8,11.0,12.4,16.1,9.6,10.4,7.8,5.3,5.8,6.9
Any Drinking Past Month,41.7,37.5,52.2,44.2,46.1,47.9,57.7,52.6,50.5,49.7,45.3
Arthritis,23.0,31.4,20.9,31.4,26.7,16.7,23.0,26.8,22.2,24.4,18.4
Asthma Status,13.7,9.3,9.2,10.4,R,6.8,10.6,11.6,6.8,7.9,5.0
BMI 3 Categories,21.7,30.0,29.8,25.4,23.8,32.5,34.1,28.7,21.7,24.8,27.0
BMI 4 Categories,R,R,1.7,R,R,3.2,2.6,R,R,R,R
BMI 5 Categories,R,R,1.7,R,R,3.2,2.6,R,R,R,R
BP Location,83.8,85.2,85.2,77.4,85.6,84.2,82.3,80.4,86.9,87.9,88.2
BP Sharing,R,R,3.1,R,R,R,R,3.4,R,R,R
Binge Drinking,17.2,10.6,15.7,9.8,18.9,17.0,17.5,17.7,21.0,12.7,18.7
Binge-Heavy Drinking - Femal,R,R,18.3,N,R,19.4,18.3,23.2,19.6,R,18.1
Blind,7.1,12.2,6.5,R,10.0,5.6,5.2,7.5,10.6,9.0,12.6
COPD,6.8,6.3,5.6,11.2,6.9,6.6,5.6,5.1,R,6.0,4.0
CVD,12.0,14.3,8.9,17.3,13.4,5.5,7.3,7.6,R,6.9,8.2
Cervical Cancer Screening,86.5,81.0,76.2,74.9,76.4,74.0,78.0,84.1,75.2,66.3,72.0
Cervical Cancer Screening HP,49.0,48.2,49.0,38.9,44.6,54.7,47.7,47.6,56.5,49.2,54.3
Cervical Cancer Screening Pa,89.7,98.0,95.6,95.4,91.7,91.1,95.3,93.9,91.0,92.3,92.9
Chest CT or CAT Scan,39.0,45.6,39.1,53.2,43.0,35.5,38.6,44.4,39.6,39.1,37.7
ClnscpySgmscpy,87.6,88.6,86.0,83.3,75.5,87.8,86.3,84.6,82.0,86.3,77.9
Cog Decline Discuss,40.7,59.6,43.2,N,56.9,40.9,44.3,46.9,N,N,40.4
Cog Decline Worry,64.5,73.5,62.7,N,67.3,58.4,64.6,62.7,N,N,78.3
Col Past 10 Yrs 50-75,59.6,63.0,62.6,60.5,50.5,58.2,69.1,64.3,57.8,64.3,51.0
