PHR,group,level,n,answer,pct,low,high
,group,category,sample_size,response,pct,ci_low,ci_high
10,Total,Total,400,YES,41.1,35.2,47.2
10,Sex,Male,211,YES,40.3,32.9,48.1
10,Sex,Female,189,YES,42.0,32.6,52.0
10,Race/Ethnicity,"White, Non-Hispanic",82,YES,44.2,29.4,60.2
10,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
10,Race/Ethnicity,Hispanic,275,YES,39.9,33.2,47.0
10,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
10,Age,18 to 29,73,YES,25.4,15.5,38.7
10,Age,30 to 44,77,YES,23.3,14.6,35.1
10,Age,45 to 64,120,YES,46.0,36.1,56.2
10,Age,65+,127,YES,66.1,53.0,77.2
10,Education,Less than high school,50,YES,53.0,32.9,72.2
10,Education,High school graduate,96,YES,35.9,25.9,47.3
10,Education,Some college,104,YES,32.4,22.8,43.8
10,Education,College graduate,150,YES,49.5,40.5,58.6
10,Income,"<$25,000",87,YES,48.5,36.7,60.5
10,Income,"$25,000 to <$50,000",102,YES,32.8,23.4,43.8
10,Income,"$50,000+",163,YES,43.6,34.8,52.8
10,Marital Status,Married,200,YES,47.8,39.6,56.2
10,Marital Status,Not married,198,YES,33.2,24.9,42.7
10,Employment Status,Employed,209,YES,32.1,25.4,39.7
10,Employment Status,Not employed,181,YES,51.6,40.9,62.1
10,Health Insurance,Health insurance,328,YES,44.3,37.4,51.3
10,Health Insurance,No health insurance,54,YES,25.5,14.1,41.6
10,Disability Status,Has disability,157,YES,47.5,36.9,58.4
10,Disability Status,No disability,239,YES,35.6,28.9,42.9
10,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
10,Sexual Orientation,Straight,314,YES,40.4,34.2,47.1
10,Total,Total,400,NO,58.9,52.8,64.8
10,Sex,Male,211,NO,59.7,51.9,67.1
10,Sex,Female,189,NO,58.0,48.0,67.4
10,Race/Ethnicity,"White, Non-Hispanic",82,NO,55.8,39.8,70.6
10,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
10,Race/Ethnicity,Hispanic,275,NO,60.1,53.0,66.8
10,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
10,Age,18 to 29,73,NO,74.6,61.3,84.5
10,Age,30 to 44,77,NO,76.7,64.9,85.4
10,Age,45 to 64,120,NO,54.0,43.8,63.9
10,Age,65+,127,NO,33.9,22.8,47.0
10,Education,Less than high school,50,NO,47.0,27.8,67.1
10,Education,High school graduate,96,NO,64.1,52.7,74.1
10,Education,Some college,104,NO,67.6,56.2,77.2
10,Education,College graduate,150,NO,50.5,41.4,59.5
10,Income,"<$25,000",87,NO,51.5,39.5,63.3
10,Income,"$25,000 to <$50,000",102,NO,67.2,56.2,76.6
10,Income,"$50,000+",163,NO,56.4,47.2,65.2
10,Marital Status,Married,200,NO,52.2,43.8,60.4
10,Marital Status,Not married,198,NO,66.8,57.3,75.1
10,Employment Status,Employed,209,NO,67.9,60.3,74.6
10,Employment Status,Not employed,181,NO,48.4,37.9,59.1
10,Health Insurance,Health insurance,328,NO,55.7,48.7,62.6
10,Health Insurance,No health insurance,54,NO,74.5,58.4,85.9
10,Disability Status,Has disability,157,NO,52.5,41.6,63.1
10,Disability Status,No disability,239,NO,64.4,57.1,71.1
10,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
10,Sexual Orientation,Straight,314,NO,59.6,52.9,65.8
11,Total,Total,570,YES,32.0,26.3,38.2
11,Sex,Male,280,YES,30.4,22.5,39.8
11,Sex,Female,290,YES,33.4,25.8,42.0
11,Race/Ethnicity,"White, Non-Hispanic",123,YES,29.3,19.2,41.9
11,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
11,Race/Ethnicity,Hispanic,403,YES,33.8,27.2,41.2
11,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
11,Age,18 to 29,89,YES,22.9,14.2,34.8
11,Age,30 to 44,138,YES,26.1,15.5,40.3
11,Age,45 to 64,170,YES,31.3,21.4,43.2
11,Age,65+,171,YES,56.0,43.4,67.9
11,Education,Less than high school,106,YES,33.5,21.2,48.5
11,Education,High school graduate,165,YES,28.7,19.2,40.4
11,Education,Some college,137,YES,27.4,17.7,39.8
11,Education,College graduate,155,YES,39.8,29.6,51.0
11,Income,"<$25,000",148,YES,30.7,21.0,42.6
11,Income,"$25,000 to <$50,000",144,YES,37.0,24.7,51.3
11,Income,"$50,000+",193,YES,24.9,17.5,34.2
11,Marital Status,Married,252,YES,32.0,24.0,41.2
11,Marital Status,Not married,314,YES,32.0,24.4,40.8
11,Employment Status,Employed,273,YES,26.7,19.6,35.2
11,Employment Status,Not employed,288,YES,37.9,29.1,47.5
11,Health Insurance,Health insurance,437,YES,38.1,31.3,45.5
11,Health Insurance,No health insurance,84,YES,,,
11,Disability Status,Has disability,218,YES,41.4,31.0,52.5
11,Disability Status,No disability,347,YES,27.5,21.1,35.0
11,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
11,Sexual Orientation,Straight,436,YES,32.3,25.7,39.7
11,Total,Total,570,NO,68.0,61.8,73.7
11,Sex,Male,280,NO,69.6,60.2,77.5
11,Sex,Female,290,NO,66.6,58.0,74.2
11,Race/Ethnicity,"White, Non-Hispanic",123,NO,70.7,58.1,80.8
11,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
11,Race/Ethnicity,Hispanic,403,NO,66.2,58.8,72.8
11,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
11,Age,18 to 29,89,NO,77.1,65.2,85.8
11,Age,30 to 44,138,NO,73.9,59.7,84.5
11,Age,45 to 64,170,NO,68.7,56.8,78.6
11,Age,65+,171,NO,44.0,32.1,56.6
11,Education,Less than high school,106,NO,66.5,51.5,78.8
11,Education,High school graduate,165,NO,71.3,59.6,80.8
11,Education,Some college,137,NO,72.6,60.2,82.3
11,Education,College graduate,155,NO,60.2,49.0,70.4
11,Income,"<$25,000",148,NO,69.3,57.4,79.0
11,Income,"$25,000 to <$50,000",144,NO,63.0,48.7,75.3
11,Income,"$50,000+",193,NO,75.1,65.8,82.5
11,Marital Status,Married,252,NO,68.0,58.8,76.0
11,Marital Status,Not married,314,NO,68.0,59.2,75.6
11,Employment Status,Employed,273,NO,73.3,64.8,80.4
11,Employment Status,Not employed,288,NO,62.1,52.5,70.9
11,Health Insurance,Health insurance,437,NO,61.9,54.5,68.7
11,Health Insurance,No health insurance,84,NO,85.0,68.8,93.5
11,Disability Status,Has disability,218,NO,58.6,47.5,69.0
11,Disability Status,No disability,347,NO,72.5,65.0,78.9
11,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
11,Sexual Orientation,Straight,436,NO,67.7,60.3,74.3
1,Total,Total,860,YES,33.6,26.6,41.5
1,Sex,Male,419,YES,29.8,21.7,39.3
1,Sex,Female,441,YES,36.9,26.2,49.2
1,Race/Ethnicity,"White, Non-Hispanic",574,YES,40.3,31.4,50.0
1,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
