"County","pct_hispanic","pct_black","pct_white","pct_poverty","pct_uninsured","pct_college","median_income","pct_foreign_born"
"Anderson",19.6,18.6,58.3,13.5,18.5,15.4,NA,1.1
"Andrews",57.5,1.6,57.7,14.2,22.4,17.7,NA,1.2
"Angelina",23.5,12.1,63.4,11.5,17.7,17.9,NA,1.2
"Aransas",27.1,1.3,76.9,10.7,12.8,28.8,NA,1.5
"Archer",9.4,1.5,88.9,4.5,13.9,25.4,NA,0.8
"Armstrong",12,0.6,89.9,6,4.2,27.2,NA,0.5
"Atascosa",65.4,1.2,46.4,13.6,19.5,15.7,NA,1.2
"Austin",27.8,7.9,66.6,10.6,16.7,25.1,NA,1.1
"Bailey",66,0.9,71.3,7.4,28.6,15.2,NA,3.7
"Bandera",21,1.2,77.2,8.5,13.3,27.2,NA,1.5
"Bastrop",45,5.8,54.2,7,21.8,25,NA,1.4
"Baylor",13.1,1.2,82.5,16,20.6,25.3,NA,1.6
"Bee",61.8,7.3,44.2,11.8,18.8,14,NA,0.8
"Bell",26.3,22.9,49.1,11.2,14,27.2,NA,5.1
"Bexar",59.7,7.9,42.3,11.2,16,31.8,NA,2.6
"Blanco",18.6,1.1,80.4,7.4,14.7,35.4,NA,0.9
"Borden",8.4,0.6,90.5,9,2.7,36.9,NA,1
"Bosque",19.1,1.2,77.1,7.1,17.6,20.4,NA,0.8
"Bowie",8.6,24.8,64.1,11.6,13.4,23.6,NA,0.8
"Brazoria",31.6,16.2,47.7,5.5,12.7,33.1,NA,1.5
"Brazos",27.4,10.5,63.2,12.2,12.2,43,NA,1.6
"Brewster",42.1,0.6,68.9,4,15.4,45.5,NA,1
"Briscoe",26.1,6.1,83.7,14,19.8,23.1,NA,0.5
"Brooks",90.1,0.6,24.1,13.4,21.4,17,NA,0.8
"Brown",22.5,3.7,74.8,13,15.5,20.2,NA,0.6
"Burleson",22.7,10.6,69.6,9,12.6,23.5,NA,0.3
"Burnet",23.4,1.2,79.3,5.7,18.9,28.5,NA,1.1
"Caldwell",57,4.9,47.1,7.5,21.4,19.3,NA,1.2
"Calhoun",49.4,2.6,55.5,5.8,6.8,20.1,NA,0.7
"Callahan",11.2,1.2,83.5,6.2,15.5,24,NA,0.8
"Cameron",89.3,0.6,35.4,21.3,25.8,22.1,NA,1.2
"Camp",27.4,15.6,59.1,13.7,19.5,22.2,NA,1.3
"Carson",10.9,0.7,90.3,3.6,11.7,26.4,NA,0.3
"Cass",5.4,16.2,76.4,11.7,13.5,18.9,NA,0.4
"Castro",65.6,1.2,40.8,18.2,22.2,18.6,NA,0.7
"Chambers",26.5,8.2,68,10.1,15.9,21.9,NA,1.1
"Cherokee",23.9,12.8,65.1,14.5,19.9,18.9,NA,0.6
"Childress",31.9,6.7,63.9,14.4,14.2,11.8,NA,0.5
"Clay",7.1,1,89.8,5.5,17.6,22.4,NA,1.6
"Cochran",60.2,4.9,42.7,23.2,27.2,8.2,NA,1.1
"Coke",21.1,1.3,84.3,17.8,11.2,23,NA,0.3
"Coleman",16.6,4.6,77.7,15,21.3,16.8,NA,0.4
"Collin",16.1,11,53.5,4.7,9.5,56.2,NA,1.7
"Collingsworth",32.6,4.4,57.3,21.4,22.1,25.6,NA,1.3
"Colorado",30.5,10.3,59.7,5.5,12.6,22.9,NA,0.3
"Comal",28.4,2.7,71.1,4.3,10.5,43.3,NA,1.8
"Comanche",29.5,0.4,69.7,12.4,20.7,21.4,NA,0.4
"Concho",31.9,4.7,67.5,10.6,17.4,14.1,NA,0.6
"Cooke",20.9,3.2,77.2,9.8,16.1,23.7,NA,1.5
"Coryell",20.7,14.3,58.6,7.5,10.6,19.3,NA,5.7
"Cottle",42,2.3,50.7,18.6,11.2,21.1,NA,0.4
"Crane",68.9,3.1,40.1,7.5,18.6,12.6,NA,1
"Crockett",66.8,0.2,33,1.8,2.3,10.7,NA,3.9
"Crosby",56.3,3.5,65.8,15.5,20.2,15.4,NA,1
"Culberson",78,0.2,51.3,12.1,19.2,15.8,NA,2.5
"Dallam",54.3,0.2,50.9,10.7,24.4,11.9,NA,0.3
"Dallas",41.3,22.4,34.7,10.8,21.5,35.7,NA,1.5
"Dawson",55.8,6.7,49.5,16.9,22.5,12.7,NA,0.4
"Deaf Smith",76.4,2.6,40.5,14.3,21,11.4,NA,0.3
"Delta",9.2,8.1,81.3,9.9,9.5,14.9,NA,0.3
"Denton",20.5,11,56.9,4.4,10.6,49.4,NA,1.8
"Dewitt",35.7,6.1,58.9,14.5,17,16.9,NA,0.4
"Dickens",32.8,1.4,74.6,11.6,12,18,NA,0.2
"Dimmit",87.1,1.1,14.4,31.7,14.5,9.8,NA,1
"Donley",12.6,5.2,84.2,2.5,17.9,16.6,NA,0
"Duval",81.6,0.7,55.4,17.9,22.2,6.8,NA,0.1
"Eastland",17.3,2.2,80.8,10.5,15.3,21.8,NA,0.6
"Ector",63.5,4.5,48.1,14,22.1,17.6,NA,1.8
"Edwards",43,2.1,74.4,27.5,19.2,26.1,NA,0.2
"Ellis",28.2,14.5,59.6,5.3,15,30.1,NA,0.9
"El Paso",82.7,3.4,29.6,16.3,21.6,25.9,NA,2.1
"Erath",22.3,1.9,79.3,10.1,15.2,32.1,NA,1.3
"Falls",25,18.7,57.9,9.3,16.9,19.5,NA,0.7
"Fannin",13.1,5.9,81.2,9.1,14.3,19.5,NA,0.7
"Fayette",22.1,5.8,76,5.3,9.9,27.5,NA,0.6
"Fisher",28,3.4,75.6,12.3,11.7,17.1,NA,0.7
"Floyd",58.1,2.4,62.5,16.7,23.3,14.9,NA,0.7
"Foard",11.9,0.3,83.7,0,19.1,20.6,NA,0
"Fort Bend",24.7,20.8,33.6,6.5,11.7,50.2,NA,1.9
"Franklin",14.7,5.4,77.7,8.2,15,27.8,NA,0.6
"Freestone",17.2,14.5,65.7,9.8,12.6,16.5,NA,0.7
"Frio",77.8,5.1,33,15.6,15.1,11.9,NA,0.8
