source_file,group,category,sample_size,response,pct,ci_low,ci_high
2024_PHR10_BRFSS_Summary_Tables.xlsx,Total,Total,444,YES,73.1,66.9,78.6
2024_PHR10_BRFSS_Summary_Tables.xlsx,Sex,Male,224,YES,73.6,66.1,79.9
2024_PHR10_BRFSS_Summary_Tables.xlsx,Sex,Female,220,YES,72.6,61.9,81.2
2024_PHR10_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"White, Non-Hispanic",89,YES,75.5,52.8,89.5
2024_PHR10_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
2024_PHR10_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,Hispanic,310,YES,72.1,65.1,78.1
2024_PHR10_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
2024_PHR10_BRFSS_Summary_Tables.xlsx,Age,18 to 29,82,YES,53.0,39.3,66.2
2024_PHR10_BRFSS_Summary_Tables.xlsx,Age,30 to 44,87,YES,66.2,53.3,77.0
2024_PHR10_BRFSS_Summary_Tables.xlsx,Age,45 to 64,135,YES,82.8,74.2,89.0
2024_PHR10_BRFSS_Summary_Tables.xlsx,Age,65+,138,YES,94.0,89.0,96.8
2024_PHR10_BRFSS_Summary_Tables.xlsx,Education,Less than high school,54,YES,68.8,47.2,84.5
2024_PHR10_BRFSS_Summary_Tables.xlsx,Education,High school graduate,108,YES,76.2,64.8,84.7
2024_PHR10_BRFSS_Summary_Tables.xlsx,Education,Some college,121,YES,70.7,58.5,80.5
2024_PHR10_BRFSS_Summary_Tables.xlsx,Education,College graduate,161,YES,76.3,68.0,82.9
2024_PHR10_BRFSS_Summary_Tables.xlsx,Income,"<$25,000",89,YES,71.3,58.6,81.4
2024_PHR10_BRFSS_Summary_Tables.xlsx,Income,"$25,000 to <$50,000",114,YES,72.9,62.1,81.5
2024_PHR10_BRFSS_Summary_Tables.xlsx,Income,"$50,000+",174,YES,77.4,68.5,84.3
2024_PHR10_BRFSS_Summary_Tables.xlsx,Marital Status,Married,217,YES,81.7,72.8,88.2
2024_PHR10_BRFSS_Summary_Tables.xlsx,Marital Status,Not married,225,YES,64.4,55.2,72.7
2024_PHR10_BRFSS_Summary_Tables.xlsx,Employment Status,Employed,236,YES,66.2,58.6,73.0
2024_PHR10_BRFSS_Summary_Tables.xlsx,Employment Status,Not employed,195,YES,80.4,67.5,89.1
2024_PHR10_BRFSS_Summary_Tables.xlsx,Health Insurance,Health insurance,362,YES,82.4,75.0,88.0
2024_PHR10_BRFSS_Summary_Tables.xlsx,Health Insurance,No health insurance,63,YES,25.4,15.8,38.2
2024_PHR10_BRFSS_Summary_Tables.xlsx,Disability Status,Has disability,159,YES,78.4,66.1,87.1
2024_PHR10_BRFSS_Summary_Tables.xlsx,Disability Status,No disability,253,YES,69.1,60.9,76.3
2024_PHR10_BRFSS_Summary_Tables.xlsx,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
2024_PHR10_BRFSS_Summary_Tables.xlsx,Sexual Orientation,Straight,351,YES,75.4,68.7,81.0
2024_PHR10_BRFSS_Summary_Tables.xlsx,Total,Total,444,NO,10.5,7.4,14.5
2024_PHR10_BRFSS_Summary_Tables.xlsx,Sex,Male,224,NO,13.5,9.0,19.9
2024_PHR10_BRFSS_Summary_Tables.xlsx,Sex,Female,220,NO,,,
2024_PHR10_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"White, Non-Hispanic",89,NO,,,
2024_PHR10_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
