PHR,group,level,n,answer,pct,low,high
10,Total,Total,377,YES,32.6,26.9,38.8
10,Sex,Male,198,YES,26.7,20.2,34.3
10,Sex,Female,179,YES,39.4,29.8,50.0
10,Race/Ethnicity,"White, Non-Hispanic",75,YES,51.4,33.8,68.6
10,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
10,Race/Ethnicity,Hispanic,261,YES,28.7,22.8,35.3
10,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
10,Age,18 to 29,64,YES,18.1,9.8,30.9
10,Age,30 to 44,72,YES,,,
10,Age,45 to 64,113,YES,24.5,16.9,34.2
10,Age,65+,125,YES,60.5,49.1,70.8
10,Education,Less than high school,N,YES,,,
10,Education,High school graduate,92,YES,32.9,23.1,44.4
10,Education,Some college,96,YES,29.9,18.9,43.8
10,Education,College graduate,140,YES,32.6,24.2,42.2
10,Income,"<$25,000",84,YES,33.3,23.0,45.5
10,Income,"$25,000 to <$50,000",99,YES,19.7,12.6,29.3
10,Income,"$50,000+",152,YES,33.5,25.1,43.0
10,Marital Status,Married,188,YES,36.0,27.7,45.3
10,Marital Status,Not married,188,YES,29.5,21.5,38.9
10,Employment Status,Employed,193,YES,21.5,15.7,28.6
10,Employment Status,Not employed,176,YES,44.9,35.1,55.1
10,Health Insurance,Health insurance,308,YES,37.1,30.4,44.2
10,Health Insurance,No health insurance,53,YES,,,
10,Disability Status,Has disability,145,YES,39.9,30.3,50.3
10,Disability Status,No disability,228,YES,27.9,20.8,36.3
10,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
10,Sexual Orientation,Straight,298,YES,30.8,24.5,37.8
10,Total,Total,377,NO,67.4,61.2,73.1
10,Sex,Male,198,NO,73.3,65.7,79.8
10,Sex,Female,179,NO,60.6,50.0,70.2
10,Race/Ethnicity,"White, Non-Hispanic",75,NO,48.6,31.4,66.2
10,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
10,Race/Ethnicity,Hispanic,261,NO,71.3,64.7,77.2
10,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
10,Age,18 to 29,64,NO,81.9,69.1,90.2
10,Age,30 to 44,72,NO,88.6,79.2,94.1
10,Age,45 to 64,113,NO,75.5,65.8,83.1
10,Age,65+,125,NO,39.5,29.2,50.9
10,Education,Less than high school,N,NO,,,
10,Education,High school graduate,92,NO,67.1,55.6,76.9
10,Education,Some college,96,NO,70.1,56.2,81.1
10,Education,College graduate,140,NO,67.4,57.8,75.8
10,Income,"<$25,000",84,NO,66.7,54.5,77.0
10,Income,"$25,000 to <$50,000",99,NO,80.3,70.7,87.4
10,Income,"$50,000+",152,NO,66.5,57.0,74.9
10,Marital Status,Married,188,NO,64.0,54.7,72.3
10,Marital Status,Not married,188,NO,70.5,61.1,78.5
10,Employment Status,Employed,193,NO,78.5,71.4,84.3
10,Employment Status,Not employed,176,NO,55.1,44.9,64.9
10,Health Insurance,Health insurance,308,NO,62.9,55.8,69.6
10,Health Insurance,No health insurance,53,NO,93.4,84.4,97.4
10,Disability Status,Has disability,145,NO,60.1,49.7,69.7
10,Disability Status,No disability,228,NO,72.1,63.7,79.2
10,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
10,Sexual Orientation,Straight,298,NO,69.2,62.2,75.5
11,Total,Total,532,YES,25.2,19.9,31.4
11,Sex,Male,253,YES,25.9,18.1,35.5
11,Sex,Female,279,YES,24.6,17.9,32.9
11,Race/Ethnicity,"White, Non-Hispanic",114,YES,50.3,35.8,64.8
11,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
11,Race/Ethnicity,Hispanic,377,YES,21.6,15.9,28.8
11,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
11,Age,18 to 29,77,YES,,,
11,Age,30 to 44,129,YES,,,
11,Age,45 to 64,161,YES,25.6,15.3,39.5
